"logicalRoot","relativePath","filename","extension","byteSize","sizeMB","modifiedAt","gitTracked","gitIgnored","ignoreRule","sha256Status","sha256"
"GRIDLY_SOURCE_DATA_REPO","OpenStreetMap/Community-Packages/walker-roads-raw.geojson","walker-roads-raw.geojson",".geojson","4345450","4.144","2026-06-26T21:36:01.9083602Z","False","False",,"CALCULATED","697bc04613b30f95739c0537ce4ef280709ce0d3e4e0aad8c00712eca67277ec"
"GRIDLY_SOURCE_DATA_REPO","OpenStreetMap/Community-Packages/polk-roads-raw.geojson","polk-roads-raw.geojson",".geojson","4199038","4.005","2026-06-26T21:46:34.0134218Z","False","False",,"CALCULATED","56e16e2a46ae49eadb28e70f642e82a70dba2380f26803975ac32aea363b6d51"
"GRIDLY_SOURCE_DATA_REPO","OpenStreetMap/Community-Packages/austin-roads-raw.geojson","austin-roads-raw.geojson",".geojson","4071991","3.883","2026-06-26T22:16:31.4837478Z","False","False",,"CALCULATED","e6059a1e6938c7aaac0df3036a70159e196ee8233b80eeb914a54800cb112882"
"GRIDLY_SOURCE_DATA_REPO","OpenStreetMap/Community-Packages/orange-roads-raw.geojson","orange-roads-raw.geojson",".geojson","3981759","3.797","2026-06-26T22:02:11.7605268Z","False","False",,"CALCULATED","e743ae11bdad0d8de1158acaed44f776e3dbf3f19124c9e97f871b1bea6aaa31"
"GRIDLY_SOURCE_DATA_REPO","OpenStreetMap/Community-Packages/colorado-roads-raw.geojson","colorado-roads-raw.geojson",".geojson","3948474","3.766","2026-06-26T22:55:56.6320651Z","False","False",,"CALCULATED","b4be937b805bc7a48debceb46540e16899aa5348bbf86ef3877c133d321969bf"
"GRIDLY_SOURCE_DATA_REPO","OpenStreetMap/Community-Packages/matagorda-roads-raw.geojson","matagorda-roads-raw.geojson",".geojson","3564355","3.399","2026-06-26T23:01:44.5950330Z","False","False",,"CALCULATED","1f66a230132d469f1eca8dea8a0f5f6646e8a16f17c8466e92e3dbe9a8a8f95d"
"GRIDLY_SOURCE_DATA_REPO","OpenStreetMap/Community-Packages/chambers-roads-raw.geojson","chambers-roads-raw.geojson",".geojson","3551212","3.387","2026-06-26T17:03:09.0307728Z","False","False",,"CALCULATED","d52a6758dd099eef2df30602857cc3b66120297696deae3f663a038359194f8e"
"GRIDLY_SOURCE_DATA_REPO","OpenStreetMap/Community-Packages/lavaca-roads-raw.geojson","lavaca-roads-raw.geojson",".geojson","3248644","3.098","2026-06-26T22:59:01.6040586Z","False","False",,"CALCULATED","5cf394bee57a47a3388dd149fdd688026fd503ed0f5e858c54aacc939d4cf98c"
"GRIDLY_SOURCE_DATA_REPO","OpenStreetMap/Community-Packages/grimes-roads-raw.geojson","grimes-roads-raw.geojson",".geojson","3047682","2.906","2026-06-26T22:21:20.2140729Z","False","False",,"CALCULATED","5668b232d6fcc2b3a38a376ca763990542d2da86c49c6305d0725b5819d8069d"
"GRIDLY_SOURCE_DATA_REPO","OpenStreetMap/Community-Packages/jasper-roads-raw.geojson","jasper-roads-raw.geojson",".geojson","2930321","2.795","2026-06-26T22:03:42.1126879Z","False","False",,"CALCULATED","f9555c3b29be520e1ad957384da088625c608a6e82f155eff6f8d3d5974114f6"
"GRIDLY_SOURCE_DATA_REPO","OpenStreetMap/Community-Packages/tyler-roads-raw.geojson","tyler-roads-raw.geojson",".geojson","2732104","2.606","2026-06-26T22:06:23.2176690Z","False","False",,"CALCULATED","ddcb87fdbdc39bd26a6aeb76e7eb637eca2023bbca7c25ca17d1c912012eea79"
"GRIDLY_SOURCE_DATA_REPO","Texas-Address-Points/Liberty/shp/stratmap-2026-address-points-liberty_48291.shp","stratmap-2026-address-points-liberty_48291.shp",".shp","2308532","2.202","2026-07-30T21:24:00.0654498Z","False","False",,"CALCULATED","a68d419d9831b58b5ebcd895eb89e5c55be10c070383ad414ab977dd669c9f95"
"GRIDLY_SOURCE_DATA_REPO","OpenStreetMap/Community-Packages/jackson-roads-raw.geojson","jackson-roads-raw.geojson",".geojson","2264521","2.16","2026-06-26T23:00:20.9545194Z","False","False",,"CALCULATED","49da2e8444bbf4f86f64380ab4b95d756b3f90cd3cb8f718bb2727cb632b3a65"
"GRIDLY_SOURCE_DATA_REPO","National-Address-Database/extracted/NAD_r23.gdb/a00000004.gdbtable","a00000004.gdbtable",".gdbtable","2106394","2.009","2026-06-30T15:17:44.0000000Z","False","False",,"NOT_CALCULATED",
"GRIDLY_SOURCE_DATA_REPO","OpenStreetMap/Community-Packages/newton-roads-raw.geojson","newton-roads-raw.geojson",".geojson","1849763","1.764","2026-06-26T22:05:02.8929768Z","False","False",,"CALCULATED","b3a6483d6865a35c0276e0130294fd39fb6a6a6180e57c6ef4f6462c91acf966"
"GRIDLY_SOURCE_DATA_REPO","Crossing-Packages/jefferson/Production/jefferson-production-crossings.geojson","jefferson-production-crossings.geojson",".geojson","1724470","1.645","2026-06-28T20:52:38.8715040Z","False","False",,"CALCULATED","836859bf7440a69c054038da033223866e129f5d01af609e66b9503c0e40c798"
"GRIDLY_SOURCE_DATA_REPO","National-Address-Database/gridly-28-counties/liberty_county_test.gpkg","liberty_county_test.gpkg",".gpkg","1605632","1.531","2026-07-30T20:52:01.7901332Z","False","False",,"CALCULATED","9496cf9232c6d970156f29da4870c52240f3246076f416a73aed275a398fd4db"
"GRIDLY_SOURCE_DATA_REPO","National-Address-Database/gridly-28-counties/gridly_nad_28_counties.gpkg","gridly_nad_28_counties.gpkg",".gpkg","1605632","1.531","2026-07-30T20:50:51.1878620Z","False","False",,"CALCULATED","2f9a9386fc829efd0a5e680d628b8d4d5df3f6b766d85ead96a3b25f74d8373e"
