"logicalRoot","relativePath","filename","extension","byteSize","sizeMB","modifiedAt","gitTracked","gitIgnored","ignoreRule","sha256Status","sha256"
"GRIDLY_SOURCE_DATA_REPO","Census/galveston-county-2025.geojson","galveston-county-2025.geojson",".geojson","138655","0.132","2026-06-26T22:06:24.3636874Z","False","False",,"CALCULATED","5b074d739227030d6f575d715bf7a03b39135272e4703473ef85017f326408a7"
"GRIDLY_SOURCE_DATA_REPO","Census/galveston-county-2025-wgs84.geojson","galveston-county-2025-wgs84.geojson",".geojson","138658","0.132","2026-06-26T22:06:24.7781231Z","False","False",,"CALCULATED","218c5d55f71fc66858d6eab44a56f54cfd901c74323d05aa5da69118fc168157"
"GRIDLY_SOURCE_DATA_REPO","Census/grimes-county-2025.geojson","grimes-county-2025.geojson",".geojson","78507","0.075","2026-06-26T22:19:56.6601967Z","False","False",,"CALCULATED","ec30c9bb9d55ca3685536a7c75269fecf15cb2689b320a92d90707dfe97552c8"
"GRIDLY_SOURCE_DATA_REPO","Census/grimes-county-2025-wgs84.geojson","grimes-county-2025-wgs84.geojson",".geojson","78510","0.075","2026-06-26T22:19:57.0369386Z","False","False",,"CALCULATED","67cc770866661a8c5463a09a0b4da25fbbe66c9ed8a63b3deb76d83348a8d154"
"GRIDLY_SOURCE_DATA_REPO","Census/hardin-county-2025.geojson","hardin-county-2025.geojson",".geojson","124475","0.119","2026-06-26T21:43:09.9795051Z","False","False",,"CALCULATED","0e88ae9bb3d524c7214a59feb2ea332fea711440b1bd907057e92ac7b833bee7"
"GRIDLY_SOURCE_DATA_REPO","Census/hardin-county-2025-wgs84.geojson","hardin-county-2025-wgs84.geojson",".geojson","124478","0.119","2026-06-26T21:43:10.3881247Z","False","False",,"CALCULATED","1074fc150fd2c7d1e0dd5b4e1b5c309176d912f6955e7a94f77d38fc2a28b6ab"
"GRIDLY_SOURCE_DATA_REPO","Census/harris-county-2025.geojson","harris-county-2025.geojson",".geojson","291869","0.278","2026-06-26T22:28:13.2915811Z","False","False",,"CALCULATED","dd8c61e072d9d1d4ebeb3a59dd48f9b9938167dbe1cd11a80a1a448948920358"
"GRIDLY_SOURCE_DATA_REPO","Census/harris-county-2025-wgs84.geojson","harris-county-2025-wgs84.geojson",".geojson","291872","0.278","2026-06-26T22:28:13.7709717Z","False","False",,"CALCULATED","bff86efafb05e8f388a8d44384bac83e120da350ad0c0eb988ffb7c4fb77e72d"
"GRIDLY_SOURCE_DATA_REPO","Census/jackson-county-2025.geojson","jackson-county-2025.geojson",".geojson","44370","0.042","2026-06-26T22:59:02.7603871Z","False","False",,"CALCULATED","7e47657ac3acd1adfb0d6805750386bd42f01732d49bb12a625cc9705d5bacbe"
"GRIDLY_SOURCE_DATA_REPO","Census/jackson-county-2025-wgs84.geojson","jackson-county-2025-wgs84.geojson",".geojson","44373","0.042","2026-06-26T22:59:03.1175286Z","False","False",,"CALCULATED","608204e127a06bf8ed258695e54dbd183872998830db5637bc10b539a2a10118"
