county_id,place_geoid,pass,failed_checks
hays-tx,4811080,true,
starr-tx,4811102,true,
leon-tx,4811116,true,
taylor-tx,4811128,true,
lubbock-tx,4811155,true,
cherokee-tx,4811212,true,
smith-tx,4811212,true,
comal-tx,4811224,true,
jasper-tx,4811236,true,
harris-tx,4811300,true,
wichita-tx,4811368,true,
angelina-tx,4811380,true,
johnson-tx,4811428,true,
tarrant-tx,4811428,true,
milam-tx,4811440,true,
burnet-tx,4811464,true,
washington-tx,4811536,true,
potter-tx,4811572,true,
randall-tx,4811572,true,
el-paso-tx,4811626,true,
clay-tx,4811644,true,
hill-tx,4811656,true,
moore-tx,4811692,true,
hunt-tx,4811716,true,
burleson-tx,4811725,true,
burleson-tx,4811836,true,
van-zandt-tx,4811940,true,
cooke-tx,4811968,true,
robertson-tx,4811992,true,
starr-tx,4812010,true,
milam-tx,4812040,true,
cameron-tx,4812045,true,
hunt-tx,4812112,true,
starr-tx,4812226,true,
bastrop-tx,4812334,true,
real-tx,4812388,true,
hemphill-tx,4812412,true,
henderson-tx,4812472,true,
van-zandt-tx,4812496,true,
brooks-tx,4812502,true,
el-paso-tx,4812508,true,
randall-tx,4812532,true,
hood-tx,4812562,true,
comal-tx,4812580,true,
san-jacinto-tx,4812600,true,
eastland-tx,4812736,true,
tom-green-tx,4812892,true,
hill-tx,4812895,true,
hamilton-tx,4812904,true,
fayette-tx,4812916,true,
dimmit-tx,4812982,true,
dimmit-tx,4812988,true,
collin-tx,4813024,true,
dallas-tx,4813024,true,
denton-tx,4813024,true,
parker-tx,4813075,true,
panola-tx,4813108,true,
starr-tx,4813128,true,
starr-tx,4813150,true,
wichita-tx,4813198,true,
bexar-tx,4813276,true,
medina-tx,4813312,true,
dimmit-tx,4813324,true,
bastrop-tx,4813432,true,
dallas-tx,4813492,true,
ellis-tx,4813492,true,
travis-tx,4813552,true,
williamson-tx,4813552,true,
polk-tx,4813570,true,
hunt-tx,4813672,true,
collin-tx,4813684,true,
denton-tx,4813684,true,
shelby-tx,4813732,true,
kerr-tx,4813828,true,
leon-tx,4813900,true,
jefferson-tx,4813972,true,
hidalgo-tx,4814038,true,
henderson-tx,4814224,true,
harris-tx,4814236,true,
hartley-tx,4814260,true,
starr-tx,4814266,true,
starr-tx,4814290,true,
atascosa-tx,4814404,true,
tyler-tx,4814584,true,
wise-tx,4814620,true,
childress-tx,4814668,true,
hardeman-tx,4814680,true,
falls-tx,4814692,true,
jefferson-tx,4814704,true,
bexar-tx,4814716,true,
mclennan-tx,4814740,true,
nacogdoches-tx,4814776,true,
atascosa-tx,4814860,true,
tom-green-tx,4814872,true,
cameron-tx,4814880,true,
maverick-tx,4814881,true,
zavala-tx,4814882,true,
