statewide_count,TYPEXING,XPURPOSE,PRVCAT,POSXING,HIGHWAY_category,STREET_category,gridlyClassification
4,Private,1,14,At Grade,PRIVATE,SERVICE/ACCESS,PUBLIC_ROADWAY
4,Private,1,15,At Grade,NAMED/UNSPECIFIED,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
4,Private,1,22,At Grade,FARM,FARM,PUBLIC_ROADWAY
4,Private,1,22,At Grade,PRIVATE,PRIVATE,PUBLIC_ROADWAY
4,Private,1,24,At Grade,NAMED/UNSPECIFIED,PRIVATE,PUBLIC_ROADWAY
4,Private,2,14,At Grade,PLACEHOLDER/UNKNOWN,PRIVATE,PUBLIC_ROADWAY
4,Private,2,14,At Grade,PRIVATE,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
3,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,PLACEHOLDER/UNKNOWN,PUBLIC_ROADWAY
3,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,PRIVATE+DRIVEWAY,PUBLIC_ROADWAY
3,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,SERVICE/ACCESS,PUBLIC_ROADWAY
3,Private,1,14,At Grade,PRIVATE,DRIVEWAY,PUBLIC_ROADWAY
3,Private,1,14,RR Over,PLACEHOLDER/UNKNOWN,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
3,Private,1,14,RR Under,PLACEHOLDER/UNKNOWN,PRIVATE,PUBLIC_ROADWAY
3,Private,1,15,At Grade,BLANK,YARD/RAIL_ONLY,PUBLIC_ROADWAY
3,Private,1,15,At Grade,NAMED/UNSPECIFIED,PRIVATE,PUBLIC_ROADWAY
3,Private,1,19,At Grade,PLACEHOLDER/UNKNOWN,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
3,Private,1,19,At Grade,PRIVATE,PRIVATE,PUBLIC_ROADWAY
3,Private,1,20,At Grade,BLANK,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
3,Private,1,21,At Grade,BLANK,PRIVATE,PUBLIC_ROADWAY
3,Private,1,21,At Grade,PLACEHOLDER/UNKNOWN,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
3,Private,1,22,At Grade,NAMED/UNSPECIFIED,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
3,Private,2,15,At Grade,PRIVATE,PRIVATE,PUBLIC_ROADWAY
2,Private,1,14,At Grade,BLANK,SERVICE/ACCESS,PUBLIC_ROADWAY
2,Private,1,14,At Grade,NAMED/UNSPECIFIED,PUBLIC_ROAD,PUBLIC_ROADWAY
2,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,INDUSTRIAL+DRIVEWAY,PUBLIC_ROADWAY
2,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,PRIVATE+PUBLIC_ROAD,PUBLIC_ROADWAY
2,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,PRIVATE+YARD/RAIL_ONLY+DRIVEWAY,PUBLIC_ROADWAY
2,Private,1,14,At Grade,PLACEHOLDER/UNKNOWN,RESIDENTIAL,PUBLIC_ROADWAY
2,Private,1,14,At Grade,PRIVATE,INDUSTRIAL,PUBLIC_ROADWAY
2,Private,1,14,At Grade,PRIVATE,PRIVATE+YARD/RAIL_ONLY,PUBLIC_ROADWAY
2,Private,1,14,At Grade,PRIVATE+PUBLIC_ROAD,PRIVATE+PUBLIC_ROAD,PUBLIC_ROADWAY
2,Private,1,14,At Grade,SERVICE/ACCESS,NAMED/UNSPECIFIED,PUBLIC_ROADWAY
2,Private,1,14,At Grade,YARD/RAIL_ONLY,PRIVATE,PUBLIC_ROADWAY
2,Private,1,14,At Grade,YARD/RAIL_ONLY,YARD/RAIL_ONLY,PUBLIC_ROADWAY
