county_id,place_geoid,pass,failed_checks
calhoun-tx,4866416,true,
callahan-tx,4805336,true,
callahan-tx,4815676,true,
callahan-tx,4817816,true,
callahan-tx,4859984,true,
cameron-tx,4804174,true,
cameron-tx,4804176,true,
cameron-tx,4806140,true,
cameron-tx,4808410,true,
cameron-tx,4808908,true,
cameron-tx,4810768,true,
cameron-tx,4812045,true,
cameron-tx,4814880,true,
cameron-tx,4816204,true,
cameron-tx,4819714,true,
cameron-tx,4822858,true,
cameron-tx,4824223,true,
cameron-tx,4830890,true,
cameron-tx,4832372,true,
cameron-tx,4835754,true,
cameron-tx,4835918,true,
cameron-tx,4838168,true,
cameron-tx,4840204,true,
cameron-tx,4840210,true,
cameron-tx,4840258,true,
cameron-tx,4840300,true,
cameron-tx,4840336,true,
cameron-tx,4841416,true,
cameron-tx,4841542,true,
cameron-tx,4841580,true,
cameron-tx,4841660,true,
cameron-tx,4841728,true,
cameron-tx,4844116,true,
cameron-tx,4844128,true,
cameron-tx,4844344,true,
cameron-tx,4853964,true,
cameron-tx,4854186,true,
cameron-tx,4854748,true,
cameron-tx,4854798,true,
cameron-tx,4858892,true,
cameron-tx,4859540,true,
cameron-tx,4860544,true,
cameron-tx,4860686,true,
cameron-tx,4861466,true,
cameron-tx,4861766,true,
cameron-tx,4862180,true,
cameron-tx,4865036,true,
cameron-tx,4865620,true,
cameron-tx,4865744,true,
cameron-tx,4865768,true,
cameron-tx,4868678,true,
cameron-tx,4869140,true,
cameron-tx,4869194,true,
cameron-tx,4872948,true,
cameron-tx,4875554,true,
cameron-tx,4875614,true,
cameron-tx,4880686,true,
camp-tx,4857908,true,
camp-tx,4862870,true,
carson-tx,4831292,true,
carson-tx,4854960,true,
carson-tx,4868120,true,
carson-tx,4878316,true,
cass-tx,4804516,true,
cass-tx,4805084,true,
cass-tx,4808404,true,
cass-tx,4808752,true,
cass-tx,4820848,true,
cass-tx,4821112,true,
cass-tx,4835300,true,
cass-tx,4842844,true,
cass-tx,4845816,true,
cass-tx,4846668,true,
cass-tx,4860080,true,
castro-tx,4820464,true,
castro-tx,4832576,true,
castro-tx,4850496,true,
castro-tx,4870940,true,
chambers-tx,4803144,true,
chambers-tx,4806128,true,
chambers-tx,4806200,true,
chambers-tx,4817336,true,
chambers-tx,4849068,true,
chambers-tx,4849380,true,
chambers-tx,4853004,true,
chambers-tx,4853824,true,
chambers-tx,4866392,true,
chambers-tx,4867688,true,
chambers-tx,4870520,true,
chambers-tx,4872392,true,
chambers-tx,4879792,true,
cherokee-tx,4802188,true,
cherokee-tx,4811212,true,
cherokee-tx,4818152,true,
cherokee-tx,4828008,true,
cherokee-tx,4837216,true,
cherokee-tx,4851336,true,
cherokee-tx,4861508,true,
cherokee-tx,4863848,true,
cherokee-tx,4867010,true,
cherokee-tx,4873724,true,
cherokee-tx,4877176,true,
childress-tx,4814668,true,
clay-tx,4807396,true,
clay-tx,4811644,true,
clay-tx,4819456,true,
clay-tx,4833284,true,
clay-tx,4837924,true,
clay-tx,4857044,true,
clay-tx,4879000,true,
clay-tx,4879696,true,
cochran-tx,4808644,true,
cochran-tx,4849464,true,
cochran-tx,4878328,true,
coke-tx,4808488,true,
